gross_lr,net_lr,attritional,large,cat
0.600393210997315,0.4830163382473399,0.47034234228616134,0.08904360389626681,0.04100726481488684
0.5783421328027718,0.4652762458398299,0.48820768499988754,0.06149313797125669,0.028641309831627607
0.6122916659892537,0.49258864528835455,0.5391984117895205,0.07309325419973314,0.0
0.7218339704026719,0.5807154291889496,0.5049435109785193,0.19042659078417554,0.02646386863997706
0.55786532459109,0.44880265363353183,0.52743305766708,0.03043226692400987,0.0
0.5166854760794691,0.4156734655059329,0.5166854760794691,0.0,0.0
0.6777881578683526,0.5452805730050896,0.4804005714044836,0.19738758646386892,0.0
0.589391186492681,0.47416520953336183,0.5155968860853674,0.041204116046549125,0.03259018436076447
0.5253321174938952,0.4226296885238387,0.4897095064640251,0.035622611029870035,0.0
0.5107089862010329,0.41086537939873097,0.4895393032792814,0.02116968292175145,0.0
0.5374804840082054,0.4324030493846012,0.5020190853238355,0.02655589694397713,0.008905501740392686
0.8223084717909381,0.6615471655558097,0.4554346665502037,0.035320142872480406,0.331553662368254
0.7690857270643638,0.6187294674232807,0.536109303471561,0.07057101919630698,0.1624054043964957
0.48946829703896816,0.3937772449678499,0.479403545613066,0.010064751425902184,0.0
0.7087754759155767,0.5702098703740814,0.5299720469766326,0.03908172958817796,0.13972169935076617
0.5502924181244673,0.44271025038113393,0.5031998291470978,0.04709258897736951,0.0
0.6233227097339142,0.501463119980934,0.5471538822265739,0.07462989760568299,0.001538929901657348
0.5436533630664289,0.437369130586942,0.47972351791055196,0.06392984515587695,0.0
0.5179985883110407,0.41672986429623227,0.4898505805917968,0.028148007719243966,0.0
0.5300913498549644,0.4264584909583189,0.5093188506241938,0.020772499230770593,0.0
0.5413937535792973,0.4355512747545447,0.4371864803358435,0.10420727324345377,0.0
0.5382245016925115,0.4330016116116255,0.5245199088659653,0.013704592826546114,0.0
0.6457887374279856,0.5195370392608144,0.5474690454511897,0.08654694189004575,0.011772750086750211
0.7840110363229617,0.6307368787218226,0.5340110363229617,0.25,0.0
0.585118258168112,0.4707276386962461,0.5222227792868841,0.06289547888122798,0.0
